Year,AllItems,MotorVehicleInsurance
1960,29.58,25.683
1961,29.89,25.933
1962,30.25,25.800
1963,30.63,26.067
1964,31.02,26.958
1965,31.51,29.258
1966,32.46,32.158
1967,33.36,33.108
1968,34.78,33.842
1969,36.68,36.950
1970,38.82,42.017
1971,40.49,46.775
1972,41.82,46.592
1973,44.40,45.775
1974,49.31,45.800
1975,53.82,48.367
1976,56.91,62.317
1977,60.61,69.808
1978,65.23,71.850
1979,72.58,75.817
1980,82.41,82.025
1981,90.93,85.908
1982,96.50,91.433
1983,99.60,100.358
1984,103.88,108.192
1985,107.57,119.208
1986,109.61,135.042
1987,113.63,146.233
1988,118.26,156.592
1989,123.97,166.550
1990,130.66,177.867
1991,136.19,191.517
1992,140.32,205.475
1993,144.46,216.683
1994,148.23,224.808
1995,152.38,234.292
1996,156.85,243.850
1997,160.52,251.600
1998,163.01,254.283
1999,166.58,253.833
2000,172.20,256.725
2001,177.07,268.142
2002,179.88,291.583
2003,183.96,314.442
2004,188.88,323.192
2005,195.29,329.850
2006,201.59,331.775
2007,207.34,333.143
2008,215.30,341.519
2009,214.54,356.998
2010,218.06,375.180
2011,224.94,388.655
2012,229.59,402.476
2013,232.96,419.400
2014,236.74,437.219
2015,237.02,460.611
2016,240.01,489.149
2017,245.12,526.911
2018,251.11,565.957
2019,255.66,571.032
2020,258.81,544.633
2021,270.97,565.313
2022,292.65,609.840
2023,304.70,716.004
2024,313.69,843.098
2025,322.18,892.622
